pool_id,unit_role,treated_code,treated_name,payment_type,synth_pct_change,actual_pct_change,gap_pct_change,emp_2011,pop_2011
P3,treated,117031333,Potts Point - Woolloomooloo,NA,0,NA,NA,24.713,19612
P3,treated,117031334,Pyrmont - Ultimo,Mortgage,-1.5848535172798857,-5.825242718446602,-4.240389201166717,21.234,20239
P3,treated,117031334,Pyrmont - Ultimo,Rent,15.167281049330887,24.276061776061773,9.108780726730886,21.234,20239
P3,treated,117031334,Pyrmont - Ultimo,NA,0,NA,NA,21.234,20239
P3,spillover,117031335,Redfern - Chippendale,Mortgage,-1.59067635009895,0.11547344110854503,1.706149791207495,19.14,17899
P3,spillover,117031335,Redfern - Chippendale,Rent,15.020069397550536,35.78947368421053,20.76940428665999,19.14,17899
P3,spillover,117031335,Redfern - Chippendale,NA,0,NA,NA,19.14,17899
P3,treated,117031336,Surry Hills,Mortgage,-1.4241234025543783,-1.5339663988312637,-0.10984299627688543,18.744,16795
P3,treated,117031336,Surry Hills,Rent,15.627622680509441,27.699018538713194,12.071395858203752,18.744,16795
P3,treated,117031336,Surry Hills,NA,0,NA,NA,18.744,16795
P3,treated,117031337,Sydney - Haymarket - The Rocks,Mortgage,-1.3004945467085467,-1.5073529411764706,-0.20685839446792387,43.771,25021
P3,treated,117031337,Sydney - Haymarket - The Rocks,Rent,14.812463240057191,32.53757736516357,17.72511412510638,43.771,25021
P3,treated,117031337,Sydney - Haymarket - The Rocks,NA,0,NA,NA,43.771,25021
P3,spillover,117031338,Waterloo - Beaconsfield,Mortgage,-1.6482536909364696,-7.538635506973238,-5.8903818160367685,18.577,22565
P3,spillover,117031338,Waterloo - Beaconsfield,Rent,13.882872292869921,35.97164796219728,22.08877566932736,18.577,22565
P3,spillover,117031338,Waterloo - Beaconsfield,NA,0,NA,NA,18.577,22565
P3,spillover,118011341,Bondi Junction - Waverly,Mortgage,-1.57263876730381,-0.8302889405513119,0.7423498267524982,15.209,16966
P3,spillover,118011341,Bondi Junction - Waverly,Rent,15.458339369928868,28.292682926829265,12.834343556900397,15.209,16966
P3,spillover,118011341,Bondi Junction - Waverly,NA,0,NA,NA,15.209,16966
P3,spillover,118011345,Paddington - Moore Park,Mortgage,-1.5218723090419146,2.456140350877193,3.9780126599191075,13.818,15461
