pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,att,pre_mspe,n_donors
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Income: Retail trade,-10.53998627766022,0.12902631842724716,1849
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Income: Accommodation and food services,-9.567356996490616,19.698815473373344,1844
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Income: Arts and recreation services,-8.028842570763532,344.09701009933207,1632
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Total,-7.07383217265258,0.10809302765162727,1874
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Accommodation and food services,-6.761874765913686,16.03409625276535,1844
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Arts and recreation services,2.369737483397086,8.968602220361802,1624
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Retail trade,-4.3805121309181985,0.2996456820409419,1846
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Population,-1.7564905915288616,0.00796768647233083,1871
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Income: Total,1.5466295913752124,13.036388291242488,1872
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Income: Retail trade,-10.819870433607832,24.107867142134904,1849
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Income: Accommodation and food services,-3.822459311412407,4.913309469282217,1845
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Income: Arts and recreation services,9.35580223632443,147.93936029176237,1632
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Total,-14.360567225594684,2.0916023466462863,1872
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Accommodation and food services,-17.569562736718414,4.436282422542348,1843
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Arts and recreation services,-6.368065021732605,22.16775859973919,1624
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Retail trade,-14.996821431097402,3.5281073046596663,1844
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Population,-0.9016996273732616,0.01106974242275353,1870
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Income: Total,1.575593626934148,0.02175205810957467,1872
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Income: Retail trade,-9.441411553536009,22.751903934071493,1849
