Role,Pool,SA2,Status,Industry,ATT (index pts),Pre-MSPE,p-value,Sig,N donors
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Arts and recreation services,+0.7 pp,1.34,—,,1631
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Retail trade,-3.1 pp,4.49,—,,1846
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Population,-0.9 pp,0.01,—,,1870
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Total,+3.0 pp,8.81,—,,1872
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Retail trade,-19.8 pp,2.07,—,,1849
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Accommodation and food services,-2.5 pp,169.45,—,,1845
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Income: Arts and recreation services,-15.7 pp,610.79,—,,1632
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Total,-6.9 pp,0.80,—,,1874
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Accommodation and food services,-5.6 pp,0.35,—,,1844
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Arts and recreation services,+5.8 pp,2.45,—,,1622
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Retail trade,-8.5 pp,3.58,—,,1846
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Population,-1.5 pp,0.01,—,,1870
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Total,-1.8 pp,2.46,—,,1872
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Retail trade,-10.9 pp,8.53,—,,1849
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Accommodation and food services,-6.7 pp,1.09,—,,1845
spillover,All Australia (exc. Greater Sydney),Paddington - Moore Park,Spillover,Income: Arts and recreation services,-6.4 pp,129.98,—,,1632
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Total,-3.5 pp,4.60,—,,1872
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Accommodation and food services,+17.7 pp,13.86,—,,1845
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Arts and recreation services,+0.8 pp,1.32,—,,1631
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Retail trade,-7.1 pp,0.14,—,,1846
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Population,-2.9 pp,0.02,—,,1874
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Total,-10.6 pp,6.60,—,,1872
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Retail trade,-23.2 pp,88.70,—,,1831
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Accommodation and food services,-16.4 pp,76.26,—,,1845
spillover,All Australia (exc. Greater Sydney),Bondi Junction - Waverly,Spillover,Income: Arts and recreation services,-22.3 pp,27.26,—,,1632
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Total,+8.7 pp,2.69,—,,1613
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Population,-15.9 pp,0.01,—,,1616
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Retail trade,+5.2 pp,8.45,—,,1591
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,+7.9 pp,0.22,—,,1586
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Arts and recreation services,+22.9 pp,2.60,—,,1423
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Income: Total,+0.1 pp,0.07,—,,1612
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Income: Retail trade,-9.8 pp,1.64,—,,1589
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Income: Accommodation and food services,+3.4 pp,0.01,—,,1585
