pool_id,pool_label,unit_role,outcome_type,industry,n_units,agg_base_value,agg_att_raw,weighted_att_pct,weighted_att_idx
P3,Capital cities only (exc. Greater Sydney),spillover,Median income,Total,10,28670.884697293237,445.1655664242167,0.004378410092974965,0.4378410092974965
P3,Capital cities only (exc. Greater Sydney),spillover,Population,Population,10,188913,-20607.902852234994,-0.10908673755768525,-10.908673755768525
P3,Capital cities only (exc. Greater Sydney),spillover,Rent,Rent (monthly avg),10,1864.5920291351044,246.463442847244,0.13484011471648957,13.484011471648955
P3,Capital cities only (exc. Greater Sydney),treated,Employment,Accommodation and food services,5,21.171,-0.4909728096796093,-0.02319081808509798,-2.319081808509798
P3,Capital cities only (exc. Greater Sydney),treated,Employment,Arts and recreation services,3,1.677,0.17615265607022168,0.1050403435123564,10.50403435123564
P3,Capital cities only (exc. Greater Sydney),treated,Employment,Retail trade,5,7.86,0.09079121608729848,0.011551045303727542,1.1551045303727543
P3,Capital cities only (exc. Greater Sydney),treated,Employment,Total,5,123.15899999999999,-0.5283655675299007,-0.004290109269561305,-0.4290109269561305
P3,Capital cities only (exc. Greater Sydney),treated,Median income,Accommodation and food services,5,6323.0160360871005,-132.94713356426846,-0.015845019048671104,-1.5845019048671107
P3,Capital cities only (exc. Greater Sydney),treated,Median income,Arts and recreation services,3,13928.621943947526,-2811.573850145725,-0.14441576125273312,-14.441576125273311
P3,Capital cities only (exc. Greater Sydney),treated,Median income,Retail trade,5,12323.546183206106,-487.710462588979,-0.04305999387705374,-4.305999387705374
P3,Capital cities only (exc. Greater Sydney),treated,Median income,Total,5,14410.31580720857,-43.51554452170862,0.01493910026031217,1.4939100260312168
P3,Capital cities only (exc. Greater Sydney),treated,Population,Population,5,95045,-10429.875076950506,-0.109736178409706,-10.973617840970599
P3,Capital cities only (exc. Greater Sydney),treated,Rent,Rent (monthly avg),5,2018.1135041296227,243.83897354691825,0.11819759598604507,11.819759598604508
P4,NA,NA,Rent,Rent (monthly avg),5,2018.1135041296227,224.75125257358116,0.10906931924683097,10.906931924683096
