pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,outcome_type,industry,att_index_pts,pre_mspe,n_donors,base_value,att_pct,att_raw
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Median income,Accommodation and food services,2.7564764139196876,4.60819428326719,1845,9195,0.027564764139196875,253.45800625991527
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Median income,Arts and recreation services,-15.778412251298136,0.5794826453387278,1632,13773,-0.15778412251298135,-2173.160719371292
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Median income,Retail trade,-9.441411553536009,22.751903934071493,1849,19269,-0.09441411553536008,-1819.2655922508534
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Median income,Total,1.575593626934148,0.02175205810957467,1872,42573,0.015755936269341478,670.7774747946747
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Population,Population,-0.9016996273732616,0.01106974242275353,1870,15886,-0.009016996273732616,-143.24400280451633
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Rent,Rent (monthly avg),10.02047782004152,NA,NA,1953,0.1002047782004152,195.69993182541089
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Employment,Accommodation and food services,-6.761874765913686,16.03409625276535,1844,1.311,-0.06761874765913686,-0.08864817818112843
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Employment,Arts and recreation services,2.369737483397086,8.968602220361802,1624,0.534,0.02369737483397086,0.01265439816134044
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Employment,Retail trade,-4.3805121309181985,0.2996456820409419,1846,1.35,-0.04380512130918199,-0.05913691376739569
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Employment,Total,-7.07383217265258,0.10809302765162727,1874,22.014,-0.07073832172652579,-1.5572334144877387
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Median income,Accommodation and food services,-3.822459311412407,4.913309469282217,1845,8149.5,-0.038224593114124066,-311.5113215835541
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Median income,Arts and recreation services,9.35580223632443,147.93936029176237,1632,12441,0.09355802236324431,1163.9553562211224
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Median income,Retail trade,-10.819870433607832,24.107867142134904,1849,16755,-0.10819870433607832,-1812.8692911509922
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Median income,Total,1.5466295913752124,13.036388291242488,1872,34476,0.015466295913752124,533.2160179225182
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Population,Population,-1.7564905915288616,0.00796768647233083,1871,26300,-0.017564905915288614,-461.9570255720906
P1,All Australia (exc. Greater Sydney),120021388,Leichhardt - Annandale,Spillover,spillover,Rent,Rent (monthly avg),7.103944170718886,NA,NA,1899,0.07103944170718886,134.90389980195164
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Employment,Accommodation and food services,-8.470973003889787,16.947181616667784,1843,0.648,-0.08470973003889787,-0.05489190506520582
