year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,industry,pre_mspe
2011,99.73522736824411,98.9219879778503,0.8132393903938038,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2012,99.15945196267967,99.97269415402086,-0.8132421913411889,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2013,100,99.99999999979886,2.0114043763896916e-10,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2014,100.08405480373203,101.473637814804,-1.389583011071963,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2015,101.2356056148609,100.59825246093311,0.6373531539277906,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2016,102.73178112129108,107.73922893062328,-5.007447809332206,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2017,97.7473312599815,110.89099025259634,-13.143658992614846,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2018,99.40321089350257,115.5759490644394,-16.172738170936825,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Total,0.6613605839327522
2011,95.3053184504268,95.9152846031033,-0.6099661526765061,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
2012,96.8811556139199,96.27118354699344,0.6099720669264599,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
2013,100,99.99999999979005,2.099511675623944e-10,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
2014,96.68417596848326,104.30661935575318,-7.622443387269925,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
2015,98.03020354563363,106.11973464767874,-8.089531102045115,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
2016,96.913985554826,110.57541349714037,-13.661427942314376,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
2017,89.85554826001314,112.4668558298671,-22.611307569853963,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
2018,93.43401181877874,116.15507703495621,-22.721065216177465,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Accommodation and food services,0.3720623149207582
