year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,pre_mspe
2016,105.17182130584192,133.77579348535852,-28.603972179516603,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
2017,107.50859106529208,140.77493464915497,-33.26634358386289,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
2018,109.28694158075601,145.40766879319352,-36.120727212437515,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
2011,100.47449584816134,97.49153951658728,2.9829563315740586,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2012,95.37366548042705,98.3566510529981,-2.982985572571053,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2013,100,99.99999999349544,6.504563998532831e-9,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2014,106.16844602609727,102.20744686948328,3.960999156613994,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2015,102.25385527876632,103.05749782565871,-0.8036425468923909,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2016,104.62633451957296,108.13163433979004,-3.5052998202170755,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2017,95.49228944246738,109.63607178890456,-14.143782346437177,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2018,91.57769869513642,111.9042606064646,-20.326561911328184,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,8.89811570112241
2011,94.61297071129708,92.5699938703129,2.0429768409841813,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2012,92.05020920502092,94.09314412067857,-2.0429349156576535,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2013,100,99.99999999272025,7.279751912392385e-9,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2014,94.87447698744771,106.40401975728777,-11.529542769840063,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2015,102.71966527196653,110.10165602238027,-7.381990750413735,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2016,101.0460251046025,116.87138729964697,-15.825362195044463,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2017,101.35983263598325,118.69445156290749,-17.334618926924236,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2018,99.94769874476988,122.56138140545474,-22.61368266068486,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,4.1736687212054235
2011,90.37051912842655,92.9970632892601,-2.6265441608335465,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2012,100.22592629782108,97.59937154038563,2.626554757435443,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2013,100,99.9999999997185,2.815028210534365e-10,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2014,100.45185259564214,102.77437195649307,-2.322519360850933,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2015,103.97379254945275,107.54588370965722,-3.572091160204465,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2016,103.05753589717845,106.83024607117862,-3.772710174000167,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2017,119.31418817150316,111.04366861186516,8.270519559638004,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2018,127.2416909328246,115.14209105712338,12.099599875701216,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,6.898762061307778
2011,88.59761114421086,84.92899445265384,3.6686166915570197,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2012,87.67270973416178,91.34132785176386,-3.6686181176020796,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2013,100,99.99999999990489,9.511325060884701e-11,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2014,110.14838142253241,108.15903401519688,1.9893474073355293,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2015,118.06678582574403,114.72744358382108,3.3393422419229495,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2016,113.55292649019775,117.17854107622286,-3.625614586025108,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2017,135.1547649445343,119.32362289222692,15.83114205230737,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2018,141.85604448605554,123.49600117032048,18.360043315735055,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,13.458753661184499
2011,81.91025641025641,84.34807878657436,-2.4378223763179534,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2012,90.83333333333333,88.39552226265415,2.4378110706791745,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2013,100,99.99999999989564,1.0436451702844352e-10,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2014,99.52564102564102,99.76298068322002,-0.23733965757899966,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2015,106.33333333333334,104.32043968744979,2.012893645883551,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2016,98.61538461538463,109.75608411679642,-11.140699501411788,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2017,109.34615384615384,111.90130397831864,-2.5551501321647976,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2018,109.17307692307692,119.0593934647563,-9.886316541679378,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,5.942950377401228
2011,99.73522736824411,98.74787324083172,0.987354127412388,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2012,99.15945196267967,100.1468029533109,-0.9873509906312279,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2013,100,99.99999999995615,4.3854697651113383e-11,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2014,100.08405480373203,101.18333807060257,-1.0992832668705432,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2015,101.2356056148609,100.30864367985191,0.9269619350089897,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2016,102.73178112129108,107.15918654457126,-4.427405423280177,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2017,97.7473312599815,109.90807945993575,-12.160748199954256,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2018,99.40321089350257,114.26987450094893,-14.866663607446355,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,0.9748650758093726
2011,94.45648509367624,94.89924252252341,-0.4427574288471732,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2012,97.51480999855512,97.07204255163124,0.4427674469238809,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2013,100,99.99999999936603,6.339746505545918e-10,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2014,103.16428261811876,108.03685628819046,-4.872573670071702,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2015,106.22260752299763,117.5790069851511,-11.356399462153462,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2016,109.68068198237249,126.17301452368751,-16.492332541315022,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2017,114.13090593844818,131.70369007198585,-17.572784133537667,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2018,116.66425853682028,135.4885144259056,-18.824255889085322,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,0.19603857642742567
2011,100.41095890410959,98.37015049987914,2.0408084042304466,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2012,96.91780821917808,98.9586226420849,-2.04081442290682,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2013,100,99.99999999845228,1.5477183978873654e-9,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2014,101.23287671232877,101.66788721046902,-0.43501049814024384,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2015,97.80821917808218,101.68129083127837,-3.8730716531961917,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2016,99.58904109589042,106.41812072729145,-6.829079631401029,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2017,93.013698630137,107.64285513523525,-14.629156505098251,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2018,89.38356164383562,109.68995204777208,-20.30639040393646,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,4.16491122576106
2011,95.3053184504268,95.77686375789428,-0.4715453074674798,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Accommodation and food services,0.22234218697281483
2012,96.8811556139199,96.40963743086539,0.47151818305451343,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Accommodation and food services,0.22234218697281483
2013,100,99.99999999758839,2.4116104668792104e-9,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Accommodation and food services,0.22234218697281483
2014,96.68417596848326,104.59870838498284,-7.914532416499583,P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Accommodation and food services,0.22234218697281483
