location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct
Balmain,15000,-96674.96460703571,-91807.4441688589,4867.520438176813,-70330.42589370321,-70729.81396279289,-399.3880690896767,564773418,491289405.6620671,-73484012.33793288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Leichhardt - Annandale,15000,-83126.04621979594,-81911.8170210406,1214.2291987553472,-62768.465079111535,-63297.79970809,-529.3346289784677,758954664,716175360.420418,-42779303.579581976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Lilyfield - Rozelle,15000,-95637.22649782471,-94430.46170678793,1206.7647910367814,-72192.96165568943,-72596.6928040891,-403.73114839967457,452765060,442806495.68954086,-9958564.310459137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Rest_of_Sydney,15000,0,0,0,14005.32812725546,13855.1333035383,-150.19482371716003,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney_Total,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14944.811793931844,14681.292156271456,-263.51963766038716,69899813943.33084,68667280948.14423,-1232532995.1866074,94411443228.5,93809427154.42532,-602016074.0746765,164311257171.83084,162476708102.56955,-1834549069.2612915,P1,0
Darlinghurst,10000,-59554.78131414761,-66709.79543755375,-7155.014123406145,-45668.319932937055,-48209.18485213294,-2540.864919195883,267883497,261146227.57263854,-6737269.427361459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Erskineville - Alexandria,10000,-72209.52949836143,-75415.6418293438,-3206.1123309823743,-42657.304557556374,-44439.257386489066,-1781.9528289326918,608149140,550602831.8076663,-57546308.1923337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Glebe - Forest Lodge,10000,-53661.52278495462,-52642.048376021965,1019.4744089326559,-40903.83087635544,-41591.47313118505,-687.6422548296105,377831082,349369395.0418492,-28461686.958150804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Newtown - Camperdown - Darlington,10000,-52171.73937576356,-52342.00636761032,-170.26699184675817,-38337.84049456106,-39361.0828256651,-1023.2423311040402,518917124,464812518.75282,-54104605.247179985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Potts Point - Woolloomooloo,10000,-48200.58724505416,-52304.03980033046,-4103.452555276301,-39792.823724532594,-41204.99497859837,-1412.1712540657754,370878228,386467160.50374186,15588932.50374186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Pyrmont - Ultimo,10000,-48906.269359098136,-44982.864801554664,3923.404557543472,-39512.30861857084,-41147.03420936478,-1634.7255907939398,384576844.5,245129321.62661505,-139447522.87338495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Redfern - Chippendale,10000,-50799.17244789982,-55950.73787103632,-5151.565423136497,-40496.09664777265,-43791.66212685214,-3295.5654790794943,335991166.5,291950456.74528337,-44040709.754716635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Surry Hills,10000,-58170.18114949366,-55314.18952293691,2855.9916265567517,-41563.72415992937,-41794.840696167834,-231.1165362384636,434639725,396545272.040354,-38094452.95964599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Sydney - Haymarket - The Rocks,10000,-40932.47382101765,-45448.937528465656,-4516.463707448005,-37383.496528000534,-39435.39672642816,-2051.9001984276256,316781790,343897672.92797166,27115882.92797166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Waterloo - Beaconsfield,10000,-53388.47164913098,-68463.16012875878,-15074.688479627803,-38002.34141004273,-43417.48099996467,-5415.139589921935,552057144,487992801.597982,-64064342.40201801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Bondi Junction - Waverly,10000,-52557.552365081516,-49825.93589779138,2731.616467290136,-41426.7036299841,-41909.46257063936,-482.7589406552652,343127744.00000006,296241651.08927274,-46886092.91072732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Paddington - Moore Park,10000,-61851.8780939507,-58941.32202354596,2910.5560704047384,-42354.13326240399,-42694.55693693667,-340.423674532678,455237649,416121630.4471044,-39116018.552895606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Balmain,10000,-68563.04660004948,-63574.982980497705,4988.063619551773,-42218.50788671699,-42497.3527744317,-278.8448877147166,564773418,491289405.6620671,-73484012.33793288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Leichhardt - Annandale,10000,-57534.781817673604,-56156.693917580364,1378.08790009324,-37177.200676989196,-37542.67660462977,-365.4759276405748,758954664,716175360.420418,-42779303.579581976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Lilyfield - Rozelle,10000,-66904.46323684308,-65575.707571328,1328.7556655150693,-43460.198394707804,-43741.93866862919,-281.7402739213867,452765060,442806495.68954086,-9958564.310459137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Rest_of_Sydney,10000,0,0,0,14005.32812725546,13892.612069789095,-112.71605746636487,87668878952.5,87834780755.8958,165901803.39579773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14631.650571706381,14443.384638277865,-188.2659334285163,68435097527.3828,67554540856.61468,-880556670.7681198,94411443228.5,93975328957.82112,-436114270.6788788,162846540755.8828,161529869814.4358,-1316670941.4470215,P1,50
Darlinghurst,5000,-29717.95728405135,-35658.89697659273,-5940.939692541382,-15831.495902840794,-17158.286391171918,-1326.790488331124,267883497,261146227.57263854,-6737269.427361459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Erskineville - Alexandria,5000,-43878.21315595551,-46249.70710120472,-2371.493945249211,-14325.988215150457,-15273.322658349985,-947.3344431995283,608149140,550602831.8076663,-57546308.1923337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Glebe - Forest Lodge,5000,-26206.943283149172,-24900.005775534897,1306.937507614275,-13449.251374549985,-13849.430530697979,-400.1791561479931,377831082,349369395.0418492,-28461686.958150804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Newtown - Camperdown - Darlington,5000,-26000.155064855295,-25715.15891988322,284.99614497207585,-12166.256183652798,-12734.235377938006,-567.979194285208,518917124,464812518.75282,-54104605.247179985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Potts Point - Woolloomooloo,5000,-21301.511319160127,-24755.236276136726,-3453.724956976599,-12893.747798638566,-13656.19145440464,-762.4436557660738,370878228,386467160.50374186,15588932.50374186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Pyrmont - Ultimo,5000,-22147.450986184987,-17463.041661977728,4684.4093242072595,-12753.490245657686,-13627.211069787842,-873.720824130156,384576844.5,245129321.62661505,-139447522.87338495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Redfern - Chippendale,5000,-23548.46006038577,-27108.600772715698,-3560.1407123299286,-13245.384260258597,-14949.525028531521,-1704.140768272924,335991166.5,291950456.74528337,-44040709.754716635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Surry Hills,5000,-30385.655005901248,-27470.463139958447,2915.191865942801,-13779.198016336955,-13951.114313189368,-171.91629685241242,434639725,396545272.040354,-38094452.95964599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Sydney - Haymarket - The Rocks,5000,-15238.061493389656,-18784.93313035703,-3546.871636967373,-11689.084200372537,-12771.39232831953,-1082.3081279469934,316781790,343897672.92797166,27115882.92797166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Waterloo - Beaconsfield,5000,-27384.636880481885,-39808.113593881906,-12423.476713400021,-11998.50664139364,-14762.434465087787,-2763.9278236941464,552057144,487992801.597982,-64064342.40201801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Bondi Junction - Waverly,5000,-24841.536486461737,-21924.89857757715,2916.637908884586,-13710.687751364321,-14008.425250425133,-297.7374990608114,343127744.00000006,296241651.08927274,-46886092.91072732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Paddington - Moore Park,5000,-33672.14739912097,-30647.737520183076,3024.409878937895,-14174.402567574267,-14400.972433573792,-226.56986599952506,455237649,416121630.4471044,-39116018.552895606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Balmain,5000,-40451.12859306326,-35380.000558387306,5071.128034675952,-14106.589879730767,-14302.370352321304,-195.7804725905371,564773418,491289405.6620671,-73484012.33793288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Leichhardt - Annandale,5000,-31943.517415551276,-30439.04958037093,1504.467835180345,-11585.936274866868,-11825.032267420338,-239.09599255346984,758954664,716175360.420418,-42779303.579581976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Lilyfield - Rozelle,5000,-38171.69997586144,-36758.432202118864,1413.2677737425765,-14727.435133726169,-14924.663299420048,-197.22816569387942,452765060,442806495.68954086,-9958564.310459137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Rest_of_Sydney,5000,0,0,0,14005.32812725546,13892.612069789095,-112.71605746636487,87668878952.5,87834780755.8958,165901803.39579773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Sydney_Total,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14318.48934948092,14167.99835403348,-150.49099544744058,66970381111.43476,66266505229.491974,-703875881.9427872,94411443228.5,93975328957.82112,-436114270.6788788,161381824339.93475,160241834187.3131,-1139990152.621643,P1,50
Darlinghurst,15000,-89391.60534424384,-97760.69389851476,-8369.088554270915,-75505.14396303329,-79260.08331309394,-3754.939350060653,267883497,261146227.57263854,-6737269.427361459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Erskineville - Alexandria,15000,-100540.84584076735,-104581.57655748288,-4040.7307167155377,-70988.62089996229,-73605.19211462815,-2616.5712146658625,608149140,550602831.8076663,-57546308.1923337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Glebe - Forest Lodge,15000,-81116.102286760055,-80384.09097650905,732.0113102510077,-68358.41037816087,-69333.51573167213,-975.1053535112587,377831082,349369395.0418492,-28461686.958150804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Newtown - Camperdown - Darlington,15000,-78343.3236866718,-78968.85381533742,-625.5301286656177,-64509.42480546931,-65987.93027339221,-1478.5054679228997,518917124,464812518.75282,-54104605.247179985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
