location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct,,,,,,,,,
Newtown - Camperdown - Darlington,10000,-52171.73938,-52342.00637,-170.2669918,-38337.84049,-39361.08283,-1023.242331,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.003263587,,,,,,
Potts Point - Woolloomooloo,10000,-48200.58725,-52304.0398,-4103.452555,-39792.82372,-41204.99498,-1412.171254,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.085132833,,,,,,
Pyrmont - Ultimo,10000,-48906.26936,-44982.8648,3923.404558,-39512.30862,-41147.03421,-1634.725591,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.080222937,,,,,,
Redfern - Chippendale,10000,-50799.17245,-55950.73787,-5151.565423,-40496.09665,-43791.66213,-3295.565479,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.10141042,,,,,,
Surry Hills,10000,-58170.18115,-55314.18952,2855.991627,-41563.72416,-41794.8407,-231.1165362,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.049097176,,,,,,
Sydney - Haymarket - The Rocks,10000,-40932.47382,-45448.93753,-4516.463707,-37383.49653,-39435.39673,-2051.900198,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.110339378,,,,,,
Waterloo - Beaconsfield,10000,-53388.47165,-68463.16013,-15074.68848,-38002.34141,-43417.481,-5415.13959,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.282358495,,,,,,
Bondi Junction - Waverly,10000,-52557.55237,-49825.9359,2731.616467,-41426.70363,-41909.46257,-482.7589407,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.051973814,,,,,,
Paddington - Moore Park,10000,-61851.87809,-58941.32202,2910.55607,-42354.13326,-42694.55694,-340.4236745,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.047056875,,,,,,
Balmain,10000,-68563.0466,-63574.98298,4988.06362,-42218.50789,-42497.35277,-278.8448877,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.072751487,,,,,,
Leichhardt - Annandale,10000,-57534.78182,-56156.69392,1378.0879,-37177.20068,-37542.6766,-365.4759276,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.023952257,,,,,,
Lilyfield - Rozelle,10000,-66904.46324,-65575.70757,1328.755666,-43460.19839,-43741.93867,-281.7402739,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.019860494,,,,,,
Rest_of_Sydney,10000,0,0,0,14005.32813,13892.61207,-112.7160575,87668878953,87834780756,165901803.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,#DIV/0!,,,,,,
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14631.65057,14443.38464,-188.2659334,68435097527,67554540857,-880556670.8,94411443229,93975328958,-436114270.7,1.62847E+11,1.6153E+11,-1316670941,P1,50,,,#VALUE!,,,,,,
Darlinghurst,5000,-29717.95728,-35658.89698,-5940.939693,-15831.4959,-17158.28639,-1326.790488,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.199910769,,,,,,
Erskineville - Alexandria,5000,-43878.21316,-46249.7071,-2371.493945,-14325.98822,-15273.32266,-947.3344432,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.054047186,,,,,,
Glebe - Forest Lodge,5000,-26206.94328,-24900.00578,1306.937508,-13449.25137,-13849.43053,-400.1791561,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.049869895,,,,,,
Newtown - Camperdown - Darlington,5000,-26000.15506,-25715.15892,284.996145,-12166.25618,-12734.23538,-567.9791943,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.010961325,,,,,,
Potts Point - Woolloomooloo,5000,-21301.51132,-24755.23628,-3453.724957,-12893.7478,-13656.19145,-762.4436558,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.162135207,,,,,,
